Community Health,Public Health,439541.54
Culture & Recreation,Public Library,336211.56
Culture & Recreation,Recreation and Park Commission,325435.76
Culture & Recreation,Asian Art Museum,294070.96
Culture & Recreation,War Memorial,269664.52
Culture & Recreation,Law Library,263736.8
Culture & Recreation,Fine Arts Museum,263179.38
Culture & Recreation,Arts Commission,241829.18
Culture & Recreation,Academy of Sciences,190845.44
General Administration & Finance,Retirement System,676156.26
General Administration & Finance,General Services Agency - City Admin,497505.0
General Administration & Finance,Mayor,400377.05
General Administration & Finance,Controller,388557.46
General Administration & Finance,City Attorney,346668.07
General Administration & Finance,City Planning,345323.12
General Administration & Finance,General Services Agency - Technology,339818.63
General Administration & Finance,Treasurer/Tax Collector,336095.81
General Administration & Finance,Human Resources,320757.13
General Administration & Finance,Health Service System,295183.15
General Administration & Finance,Elections,285996.41
General Administration & Finance,Board of Supervisors,284931.89
General Administration & Finance,Assessor/Recorder,268946.23
General Administration & Finance,Civil Service Commission,252152.08
General Administration & Finance,Ethics Commission,237921.37
General City Responsibilities,General Fund Unallocated,137930.88
Human Welfare & Neighborhood Development,Human Services,394548.44
Human Welfare & Neighborhood Development,Child Support Services,300721.63
Human Welfare & Neighborhood Development,Environment,295708.63
Human Welfare & Neighborhood Development,"Children, Youth & Their Families",287427.38
Human Welfare & Neighborhood Development,Rent Arbitration Board,285625.05
Human Welfare & Neighborhood Development,Human Rights Commission,253712.95
Human Welfare & Neighborhood Development,Children and Families Commission,236019.61
Human Welfare & Neighborhood Development,Department of the Status of Women,230103.83
Human Welfare & Neighborhood Development,Community Investment & Infrastructure,203628.27
Human Welfare & Neighborhood Development,Homelessness and Supportive Housing,96361.92
Public Protection,Police,510574.44
Public Protection,Fire Department,451987.04
Public Protection,Sheriff,450107.23
Public Protection,District Attorney,356098.42
Public Protection,Public Defender,330108.93
Public Protection,Department of Emergency Management,329434.25
Public Protection,Superior Court,327609.98
Public Protection,Juvenile Probation,302908.97
Public Protection,Adult Probation,302160.45
"Public Works, Transportation & Commerce",PUC Public Utilities Commission,445131.82
"Public Works, Transportation & Commerce",Municipal Transportation Agency,433209.13
"Public Works, Transportation & Commerce",Airport Commission,430871.78
"Public Works, Transportation & Commerce",Port,362507.78
"Public Works, Transportation & Commerce",General Services Agency - Public Works,347900.65
"Public Works, Transportation & Commerce",PUC Hetch Hetchy,317797.22
"Public Works, Transportation & Commerce",PUC Water Department,316467.98
"Public Works, Transportation & Commerce",Department of Building Inspection,316394.34
"Public Works, Transportation & Commerce",PUC Wastewater Enterprise,313133.32
"Public Works, Transportation & Commerce",Economic and Workforce Development,287603.81
"Public Works, Transportation & Commerce",Board of Appeals,232460.67
"Public Works, Transportation & Commerce",PUC Clean Power,83774.53
