,MONTH,MANHATTAN,NYC,PERCENTAGE
0,December,2637,19218,0.1372151108335935
1,November,2839,19317,0.146968991044158
2,October,2832,19667,0.1439975593634006
3,September,2744,19491,0.14078292545277307
4,August,2844,19678,0.14452688281329404
5,July,3055,19867,0.15377258770825994
6,June,2956,19435,0.15209673269873938
7,May,3432,20052,0.17115499700777978
8,April,3541,18336,0.1931173647469459
9,March,3484,18520,0.18812095032397408
10,February,3195,15983,0.1998998936369893
11,January,3178,18099,0.17558981159180065
