Section,Rank,Frequency
World,1,15834
U.S.,2,15418
&,3,15288
Style,4,14950
Opinion,5,14898
Fashion,6,14196
Arts,7,12610
Sports,8,12038
Business,9,11440
Day,10,11440
N.Y.,11,8788
Region,12,8788
Magazine,13,7930
T,14,6214
The,15,4056
Movies,16,3900
Books,17,3692
Technology,18,3016
Food,19,2938
Upshot,20,2600
Real,21,2496
Estate,22,2496
Theater,23,2418
Science,24,2236
Well,25,1690
Education,26,1586
Travel,27,1508
Learning,28,1456
Network,29,1456
Times,30,1196
Insider,31,1196
Briefing,32,1170
Games,33,1092
Crosswords,34,1092
Health,35,988
Corrections,36,884
Blogs,37,858
Your,38,780
Money,39,780
Paper,40,676
Today’s,41,676
Multimedia/Photos,42,624
Podcasts,43,338
Now,44,338
NYT,45,338
Automobiles,46,312
Universal,47,234
Market,48,234
Job,49,234
Editor,50,208
Public,51,208
Obituaries,52,52
Update,53,26
Afternoon,54,26
