Name of Restaurant,City,Country Code,Day of week,Start Time,End Time
1 Abercrombie Lane,Sydney,AU,4,0730,1530
1 Abercrombie Lane,Sydney,AU,3,0730,1530
1 Abercrombie Lane,Sydney,AU,2,0730,1530
1 Abercrombie Lane,Sydney,AU,1,0730,1530
1 Abercrombie Lane,Sydney,AU,0,0730,1530
#1 Chicken Rice & Seafood,Houston,US,5,1030,2000
#1 Chicken Rice & Seafood,Houston,US,4,1030,2030
#1 Chicken Rice & Seafood,Houston,US,3,1030,2030
#1 Chicken Rice & Seafood,Houston,US,2,1030,2030
#1 Chicken Rice & Seafood,Houston,US,1,1030,2030
#1 Chicken Rice & Seafood,Houston,US,0,1030,2030
#1 Chinese Kitchen,San Jose,US,6,1100,2100
#1 Chinese Kitchen,San Jose,US,5,1100,2100
#1 Chinese Kitchen,San Jose,US,4,1100,2100
#1 Chinese Kitchen,San Jose,US,3,1100,2100
#1 Chinese Kitchen,San Jose,US,2,1100,2100
#1 Chinese Kitchen,San Jose,US,0,1100,2100
10' Custom Pizzeria,Braddon,AU,6,1730,0000
10' Custom Pizzeria,Braddon,AU,6,1130,1500
10' Custom Pizzeria,Braddon,AU,5,1730,0000
10' Custom Pizzeria,Braddon,AU,5,1130,1500
10' Custom Pizzeria,Braddon,AU,4,1730,0000
10' Custom Pizzeria,Braddon,AU,4,1130,1500
10' Custom Pizzeria,Braddon,AU,3,1730,0000
10' Custom Pizzeria,Braddon,AU,3,1130,1500
10' Custom Pizzeria,Braddon,AU,2,1730,0000
10' Custom Pizzeria,Braddon,AU,2,1130,1500
10' Custom Pizzeria,Braddon,AU,1,1730,0000
10' Custom Pizzeria,Braddon,AU,1,1130,1500
10' Custom Pizzeria,Braddon,AU,0,1730,0000
10' Custom Pizzeria,Braddon,AU,0,1130,1500
10 Greek Street,London,GB,6,1730,2300
10 Greek Street,London,GB,5,1200,2330
10 Greek Street,London,GB,4,1200,2330
10 Greek Street,London,GB,3,1200,2330
10 Greek Street,London,GB,2,1200,2330
10 Greek Street,London,GB,1,1200,2330
10 Greek Street,London,GB,0,1200,2330
100% de Agave,Denver,US,6,1100,2200
100% de Agave,Denver,US,5,1100,2300
100% de Agave,Denver,US,4,1100,2300
100% de Agave,Denver,US,3,1100,2200
100% de Agave,Denver,US,2,1100,2200
